Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
16.5,31023144,1,31023144.0,31023144.0,31023144,31023144,0.0,PushPop,:groupby
16.3,30794624,1,30794624.0,30794624.0,30794624,30794624,0.0,PushPop,libcudf:aggregate
15.2,28658503,1,28658503.0,28658503.0,28658503,28658503,0.0,PushPop,:H2D
14.9,28077301,1,28077301.0,28077301.0,28077301,28077301,0.0,PushPop,libcudf:from_arrow_stream
14.7,27733416,1,27733416.0,27733416.0,27733416,27733416,0.0,PushPop,libcudf:from_arrow
5.8,10999635,3,3666545.0,5156148.0,17330,5826157,3178019.1,PushPop,CCCL:cub::DeviceTransform::TransformIfStableArgumentAddresses
5.6,10559600,2,5279800.0,5279800.0,2775185,7784415,3542060.5,PushPop,CCCL:cub::DeviceFor::Bulk
3.1,5852197,2,2926098.5,2926098.5,18239,5833958,4112334.3,PushPop,CCCL:thrust::transform
2.7,5160928,1,5160928.0,5160928.0,5160928,5160928,0.0,PushPop,CCCL:thrust::gather
1.5,2781356,1,2781356.0,2781356.0,2781356,2781356,0.0,PushPop,CCCL:uninitialized_fill
0.6,1072999,1,1072999.0,1072999.0,1072999,1072999,0.0,PushPop,:D2H
0.5,956247,1,956247.0,956247.0,956247,956247,0.0,PushPop,libcudf:to_arrow_host
0.5,954355,5,190871.0,15798.0,3365,856124,373062.4,PushPop,libcudf:make_fixed_width_column
0.5,943816,5,188763.2,14739.0,3220,848674,370039.5,PushPop,libcudf:make_numeric_column
0.4,712749,1,712749.0,712749.0,712749,712749,0.0,PushPop,CCCL:thrust::for_each_n
0.4,711171,1,711171.0,711171.0,711171,711171,0.0,PushPop,CCCL:cub::DeviceFor::ForEachN
0.3,507981,1,507981.0,507981.0,507981,507981,0.0,PushPop,CCCL:thrust::scatter
0.3,505217,1,505217.0,505217.0,505217,505217,0.0,PushPop,CCCL:cub::DeviceTransform::TransformIf
0.1,111427,2,55713.5,55713.5,55180,56247,754.5,PushPop,libcudf:allocate_like
0.1,109694,1,109694.0,109694.0,109694,109694,0.0,PushPop,libcudf:batch_null_count
0.0,67197,1,67197.0,67197.0,67197,67197,0.0,PushPop,CCCL:cub::DeviceSelect::If
0.0,36183,3,12061.0,12931.0,3459,19793,8201.7,PushPop,CCCL:thrust::fill
0.0,32332,3,10777.3,12276.0,3133,16923,7016.1,PushPop,CCCL:cub::DeviceTransform::Fill
0.0,15351,1,15351.0,15351.0,15351,15351,0.0,PushPop,libcudf:create_null_mask
0.0,13643,10,1364.3,226.0,66,10114,3100.0,PushPop,libcudf:mutable_view
0.0,10874,1,10874.0,10874.0,10874,10874,0.0,PushPop,libcudf:to_arrow_device
0.0,4431,1,4431.0,4431.0,4431,4431,0.0,PushPop,libcudf:from_arrow_device
