Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
35.5,104609,1,104609.0,104609.0,104609,104609,0.0,"void cub::detail::transform::transform_kernel<cub::detail::transform::policy_selector_from_types<(bool)1, (bool)1, cuda::std::__4::tuple<cuda::__4::counting_iterator<int, long>>, int *>, int, cuda::__4::always_true, rmm::_RMM_26_8::device_uvector<int> cudf::groupby::detail::hash::compute_matching_keys<cuco::static_set_ref<int, (cuda::std::__4::thread_scope)1, cudf::detail::row::equality::device_row_comparator<(bool)0, cudf::nullate::DYNAMIC, cudf::detail::row::equality::nan_equal_physical_equality_comparator>, cuco::linear_probing<(int)1, cudf::groupby::detail::hash::row_hasher_with_cache_t>, cuco::bucket_storage_ref<int, (int)1, cuco::valid_extent<long, (unsigned long)18446744073709551615>>, cuco::op::insert_and_find_tag>>(const unsigned int *, T1, int, rmm::_RMM_26_8::cuda_stream_view)::[lambda(int) (instance 1)], int *, cuda::__4::counting_iterator<int, long>>(T2, int, bool, T3, T4, T5, cub::detail::transform::kernel_arg<T6>...)"
34.5,101665,1,101665.0,101665.0,101665,101665,0.0,"void cub::detail::for_each::static_kernel<cub::detail::for_each::policy_selector, long, cub::DeviceFor::__op_wrapper_t<long, cudf::groupby::detail::hash::compute_single_pass_aggs_dense_output_fn, cuda::__4::counting_iterator<long, __int128>>>(T2, T3)"
10.8,31873,1,31873.0,31873.0,31873,31873,0.0,"void cudf::groupby::detail::hash::mapping_indices_kernel<cuco::static_set_ref<int, (cuda::std::__4::thread_scope)1, cudf::detail::row::equality::device_row_comparator<(bool)0, cudf::nullate::DYNAMIC, cudf::detail::row::equality::nan_equal_physical_equality_comparator>, cuco::linear_probing<(int)1, cudf::groupby::detail::hash::row_hasher_with_cache_t>, cuco::bucket_storage_ref<int, (int)1, cuco::valid_extent<long, (unsigned long)18446744073709551615>>, cuco::op::insert_and_find_tag>>(int, T1, const unsigned int *, int *, int *, int *, cuda::std::__4::atomic_flag *)"
5.6,16416,1,16416.0,16416.0,16416,16416,0.0,"void cub::detail::transform::transform_kernel<cub::detail::transform::policy_selector_from_types<(bool)1, (bool)1, cuda::std::__4::tuple<cuda::std::__4::__wrap_iter<const int *>>, int *>, int, cuda::__4::always_true, cudf::groupby::detail::hash::compute_target_indices(cuda::std::__4::span<const int, (unsigned long)18446744073709551615>, cuda::std::__4::span<const int, (unsigned long)18446744073709551615>, rmm::_RMM_26_8::cuda_stream_view, cuda::mr::__4::__version_bump_ver4_::resource_ref<cuda::mr::__4::device_accessible>)::[lambda(int) (instance 1)], int *, const int *>(T2, int, bool, T3, T4, T5, cub::detail::transform::kernel_arg<T6>...)"
3.6,10656,1,10656.0,10656.0,10656,10656,0.0,"void cub::detail::select::DeviceSelectSweepKernel<cub::detail::select::policy_selector_from_types<cuda::__4::transform_iterator<cuco::detail::open_addressing_ns::get_slot<(bool)0, cuco::bucket_storage_ref<int, (int)1, cuco::valid_extent<long, (unsigned long)18446744073709551615>>>, cuda::__4::counting_iterator<long, __int128>>, cub::NullType *, int *, long, (cub::SelectImpl)0>, cuda::__4::transform_iterator<cuco::detail::open_addressing_ns::get_slot<(bool)0, cuco::bucket_storage_ref<int, (int)1, cuco::valid_extent<long, (unsigned long)18446744073709551615>>>, cuda::__4::counting_iterator<long, __int128>>, cub::NullType *, int *, long *, cub::ScanTileState<int, (bool)1>, cuco::detail::open_addressing_ns::slot_is_filled<(bool)0, int>, cub::NullType, int, cub::detail::select::streaming_context_t<long, (bool)1>, (cub::SelectImpl)0>(T2, T3, T4, T5, T6, T7, T8, T9, int, T10, cub::detail::vsmem_t)"
2.1,6272,3,2090.7,2176.0,1920,2176,147.8,"void cudf::detail::<unnamed>::count_set_bits_kernel<(int)256>(cuda::std::__4::span<const unsigned int *const , (unsigned long)18446744073709551615>, int, int, int *)"
1.6,4704,1,4704.0,4704.0,4704,4704,0.0,"void cub::detail::for_each::static_kernel<cub::detail::for_each::policy_selector, long, cuco::detail::initialize_functor<long, int>>(T2, T3)"
1.6,4640,1,4640.0,4640.0,4640,4640,0.0,"void cub::detail::transform::transform_kernel<cub::detail::transform::policy_selector_from_types<(bool)0, (bool)1, cuda::std::__4::tuple<cuda::__4::counting_iterator<int, long>>, thrust::permutation_iterator<int *, cuda::std::__4::__wrap_iter<const int *>>>, int, cuda::__4::always_true, cuda::__4::__callable_permitting_copied_arguments<cuda::std::__4::identity>, thrust::permutation_iterator<int *, cuda::std::__4::__wrap_iter<const int *>>, cuda::__4::counting_iterator<int, long>>(T2, int, bool, T3, T4, T5, cub::detail::transform::kernel_arg<T6>...)"
1.5,4480,1,4480.0,4480.0,4480,4480,0.0,"void cub::detail::transform::transform_kernel<cub::detail::transform::policy_selector_from_types<(bool)1, (bool)1, cuda::std::__4::tuple<thrust::permutation_iterator<const long *, cudf::detail::input_indexalator>>, long *>, int, cuda::__4::always_true, cuda::std::__4::identity, long *, thrust::permutation_iterator<const long *, cudf::detail::input_indexalator>>(T2, int, bool, T3, T4, T5, cub::detail::transform::kernel_arg<T6>...)"
1.3,3936,1,3936.0,3936.0,3936,3936,0.0,"void cudf::detail::valid_if_n_kernel<cuda::__4::counting_iterator<int, long>, cuda::__4::counting_iterator<int, long>, cudf::detail::gather_bitmask_functor<(cudf::detail::gather_bitmask_op)0, cudf::detail::input_indexalator>, (int)256>(T1, T2, T3, unsigned int **, int, int, int *)"
