Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
18.0,47562754,1,47562754.0,47562754.0,47562754,47562754,0.0,PushPop,:groupby
17.9,47296563,1,47296563.0,47296563.0,47296563,47296563,0.0,PushPop,libcudf:aggregate
13.6,36031328,1,36031328.0,36031328.0,36031328,36031328,0.0,PushPop,:H2D
13.4,35363926,1,35363926.0,35363926.0,35363926,35363926,0.0,PushPop,libcudf:from_arrow_stream
13.2,35016351,1,35016351.0,35016351.0,35016351,35016351,0.0,PushPop,libcudf:from_arrow
6.4,16865124,3,5621708.0,7720702.0,33532,9110890,4889165.5,PushPop,CCCL:cub::DeviceTransform::TransformIfStableArgumentAddresses
6.0,15925385,2,7962692.5,7962692.5,4264598,11660787,5229895.4,PushPop,CCCL:cub::DeviceFor::Bulk
3.5,9163268,2,4581634.0,4581634.0,35800,9127468,6428780.1,PushPop,CCCL:thrust::transform
2.9,7730014,1,7730014.0,7730014.0,7730014,7730014,0.0,PushPop,CCCL:thrust::gather
1.6,4276411,1,4276411.0,4276411.0,4276411,4276411,0.0,PushPop,CCCL:uninitialized_fill
0.6,1474605,1,1474605.0,1474605.0,1474605,1474605,0.0,PushPop,:D2H
0.5,1310586,1,1310586.0,1310586.0,1310586,1310586,0.0,PushPop,libcudf:to_arrow_host
0.5,1267760,1,1267760.0,1267760.0,1267760,1267760,0.0,PushPop,CCCL:thrust::for_each_n
0.5,1261463,1,1261463.0,1261463.0,1261463,1261463,0.0,PushPop,CCCL:cub::DeviceFor::ForEachN
0.3,847782,5,169556.4,28832.0,6944,734106,316652.8,PushPop,libcudf:make_fixed_width_column
0.3,832700,5,166540.0,26592.0,6551,726420,313930.5,PushPop,libcudf:make_numeric_column
0.3,762455,1,762455.0,762455.0,762455,762455,0.0,PushPop,CCCL:thrust::scatter
0.3,759454,1,759454.0,759454.0,759454,759454,0.0,PushPop,CCCL:cub::DeviceTransform::TransformIf
0.0,131627,2,65813.5,65813.5,65072,66555,1048.6,PushPop,libcudf:allocate_like
0.0,119125,1,119125.0,119125.0,119125,119125,0.0,PushPop,libcudf:batch_null_count
0.0,103481,1,103481.0,103481.0,103481,103481,0.0,PushPop,CCCL:cub::DeviceSelect::If
0.0,87328,3,29109.3,30116.0,8921,48291,19704.3,PushPop,CCCL:thrust::fill
0.0,79882,3,26627.3,28597.0,8128,43157,17597.4,PushPop,CCCL:cub::DeviceTransform::Fill
0.0,23690,1,23690.0,23690.0,23690,23690,0.0,PushPop,libcudf:create_null_mask
0.0,21034,1,21034.0,21034.0,21034,21034,0.0,PushPop,libcudf:to_arrow_device
0.0,17680,10,1768.0,523.0,108,12011,3631.7,PushPop,libcudf:mutable_view
0.0,7428,1,7428.0,7428.0,7428,7428,0.0,PushPop,libcudf:from_arrow_device
